      Iteration        x-coord        y-coord              u              v              M              p              T            rho
              0              0              0      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.01      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.02      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.03      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.04      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.05      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.06      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.07      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.08      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.09      604.24921              0              2        1090.16         227.13      0.0167207
              0              0            0.1      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.11      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.12      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.13      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.14      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.15      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.16      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.17      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.18      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.19      604.24921              0              2        1090.16         227.13      0.0167207
              0              0            0.2      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.21      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.22      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.23      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.24      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.25      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.26      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.27      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.28      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.29      604.24921              0              2        1090.16         227.13      0.0167207
              0              0            0.3      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.31      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.32      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.33      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.34      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.35      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.36      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.37      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.38      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.39      604.24921              0              2        1090.16         227.13      0.0167207
              0              0            0.4      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.41      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.42      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.43      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.44      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.45      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.46      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.47      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.48      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.49      604.24921              0              2        1090.16         227.13      0.0167207
              0              0            0.5      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.51      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.52      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.53      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.54      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.55      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.56      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.57      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.58      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.59      604.24921              0              2        1090.16         227.13      0.0167207
              0              0            0.6      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.61      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.62      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.63      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.64      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.65      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.66      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.67      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.68      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.69      604.24921              0              2        1090.16         227.13      0.0167207
              0              0            0.7      604.24921              0              2        1090.16         227.13      0.0167207
              0              0           0.71      604.24921              0              2        1090.16         227.13      0.0167207
